zip,city,county,state,pop,jobs
60190,Winfield,Du Page,IL,11375,386
01721,Ashland,Middlesex,MA,17710,386
02452,Waltham,Middlesex,MA,14909,386
80005,Arvada,Jefferson,CO,28737,385
20906,Silver Spring,Montgomery,MD,70749,385
60067,Palatine,Cook,IL,37840,385
20769,Glenn Dale,Prince Georges,MD,6222,385
19153,Philadelphia,Philadelphia,PA,13006,385
98052,Redmond,King,WA,70245,384
98001,Auburn,King,WA,33699,384
19007,Bristol,Bucks,PA,20944,384
19056,Levittown,Bucks,PA,15249,384
19070,Morton,Delaware,PA,6924,384
19032,Folcroft,Delaware,PA,6627,384
75067,Lewisville,Denton,TX,68196,384
07927,Cedar Knolls,Morris,NJ,3814,384
02026,Dedham,Norfolk,MA,25265,384
01742,Concord,Middlesex,MA,19121,384
94619,Oakland,Alameda,CA,24112,383
20706,Lanham,Prince Georges,MD,43670,383
80233,Denver,Adams,CO,49875,383
80234,Denver,Adams,CO,28133,383
20832,Olney,Montgomery,MD,26437,383
98003,Federal Way,King,WA,49533,383
19030,Fairless Hills,Bucks,PA,11792,383
80220,Denver,Denver,CO,36483,383
20785,Hyattsville,Prince Georges,MD,38878,382
60194,Schaumburg,Cook,IL,19525,382
98047,Pacific,King,WA,7124,382
19054,Levittown,Bucks,PA,16180,382
60490,Bolingbrook,Will,IL,22158,382
75218,Dallas,Dallas,TX,22529,382
76006,Arlington,Tarrant,TX,24684,382
01746,Holliston,Middlesex,MA,14724,382
98422,Tacoma,Pierce,WA,21490,382
02215,Boston,Suffolk,MA,25770,382
02129,Charlestown,Suffolk,MA,19890,382
22307,Alexandria,Fairfax,VI,9902,381
22315,Alexandria,Fairfax,VI,29470,381
20743,Capitol Heights,Prince Georges,MD,37888,381
80205,Denver,Denver,CO,35054,381
80204,Denver,Denver,CO,34030,381
76011,Arlington,Tarrant,TX,22622,381
02030,Dover,Norfolk,MA,6044,381
01773,Lincoln,Middlesex,MA,4884,381
